"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","1568-1512-ND","PRT-12795","JUMPER WIRE M/M 6"" 20PCS","","1","0","2.10000","2.10"
"2","1","448-CY8CKIT-059-ND","CY8CKIT-059","CY8C58LP EVAL BRD","","1","0","20.90000","20.90"
"3","1","609-6212-ND","86130342114345E1LF","CONN HEADER VERT 34POS 2.54MM","","1","0","1.37000","1.37"
"4","1","609-6244-ND","86130502114345E1LF","CONN HEADER VERT 50POS 2.54MM","","1","0","1.70000","1.70"
"5","2","S5480-ND","PPPC051LGBN-RC","CONN HDR 5POS 0.1 GOLD PCB R/A","","2","0","0.67000","1.34"
"6","10","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","10","0","0.05000","0.50"
"7","1","2057-PH2-10-UA-ND","PH2-10-UA","CONN HEADER VERT 10POS 2.54MM","","1","0","0.17000","0.17"
"8","2","S1011EC-26-ND","PRPC026SAAN-RC","CONN HEADER VERT 26POS 2.54MM","","0","2","0.54000","1.08"
